Word,Time_s,F0_Hz,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,0.669095,216.09242,,,,,,
your,0.674267,216.216429,,,,,,
your,0.679439,211.325315,,,,,,
your,0.684612,211.977322,,,,,,
your,0.689784,211.447936,,,,,,
your,0.694957,222.971136,,,,,,
your,0.700129,219.129461,,,,,,
your,0.705301,219.97299,,,,,,
your,0.710474,224.155591,,,,,,
your,0.715646,228.432436,,,,,,
your,0.720819,230.232991,,,,,,
your,0.725991,231.927039,,,,,,
your,0.731163,232.355114,,,,,,
your,0.736336,231.975102,,,,,,
your,0.741508,229.871928,,,,,,
your,0.746681,227.402577,,,,,,
your,0.751853,225.368513,,,,,,
your,0.757026,223.760699,,,,,,
your,0.762198,222.782278,,,,,,
your,0.76737,222.654691,,,,,,
your,0.772543,222.742814,,,,,,
your,0.777715,222.016802,,,,,,
your,0.782888,221.086785,,,,,,
your,0.78806,220.263631,,,,,,
your,0.793232,220.015244,,,,,,
your,0.798405,220.439787,,,,,,
your,0.803577,220.179871,,,,,,
your,0.80875,219.918514,,,,,,
your,0.813922,219.506902,,,,,,
your,0.819095,219.650233,,,,,,
your,0.824267,219.671838,,,,,,
your,0.829439,220.731283,,,,,,
your,0.834612,220.644251,,,,,,
your,0.839784,220.616426,,,,,,
your,0.844957,221.220529,,,,,,
your,0.850129,221.511782,,,,,,
your,0.855301,222.137268,,,,,,
your,0.860474,221.557257,,,,,,
your,0.865646,222.122549,,,,,,
your,0.870819,222.58039,,,,,,
your,0.875991,223.045133,,,,,,
your,0.881163,222.497313,,,,,,
your,0.886336,222.289315,,,,,,
your,0.891508,222.883288,,,,,,
your,0.896681,222.773088,,,,,,
your,0.901853,222.38297,,,,,,
your,0.907026,221.479921,,,,,,
your,0.912198,222.375165,,,,,,
your,0.91737,223.1011,,,,,,
your,0.922543,223.419702,,,,,,
your,0.927715,224.438826,,,,,,
your,0.932888,224.820299,,,,,,
your,0.93806,224.009554,,,,,,
your,0.943232,223.430591,,,,,,
your,0.948405,223.965192,,,,,,
your,0.953577,223.652546,,,,,,
your,0.95875,222.526311,,,,,,
your,0.963922,219.978665,,,,,,
your,0.969095,221.05046,,,,,,
your,0.974267,221.381548,,,,,,
your,0.979439,221.543018,,,,,,
your,0.984612,223.540779,,,,,,
your,0.989784,224.153209,,,,,,
your,0.994957,222.919831,,,,,,
your,1.000129,222.784964,,,,,,
your,1.005301,223.973923,,,,,,
your,1.010474,223.997183,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
your,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,1.082888,229.043264,,,,,,
good,1.08806,223.068552,,,,,,
good,1.093232,223.523477,,,,,,
good,1.098405,224.896066,,,,,,
good,1.103577,224.664597,,,,,,
good,1.10875,226.692691,,,,,,
good,1.113922,227.436536,,,,,,
good,1.119095,229.222425,,,,,,
good,1.124267,231.525648,,,,,,
good,1.129439,234.001768,,,,,,
good,1.134612,236.401837,,,,,,
good,1.139784,239.113657,,,,,,
good,1.144957,241.819637,,,,,,
good,1.150129,243.633691,,,,,,
good,1.155301,245.311122,,,,,,
good,1.160474,245.984816,,,,,,
good,1.165646,244.665046,,,,,,
good,1.170819,243.895997,,,,,,
good,1.175991,244.033624,,,,,,
good,1.181163,243.245006,,,,,,
good,1.186336,244.726201,,,,,,
good,1.191508,245.251479,,,,,,
good,1.196681,245.042802,,,,,,
good,1.201853,245.034376,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
good,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
pants,--undefined--,--undefined--,,,,,,
